#{"t_start": 1653991676.9744394, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
39,71,71.21441
-10,252,71.537286
-19,71,71.625167
-11,71,71.716061
-18,108,71.853226
31,71,71.945165
-35,71,72.03829
-2,108,72.179969
-13,71,72.267322
33,109,72.4116
-6,74,72.503969
15,109,72.648194
-7,71,72.74156
7,71,72.835497
15,71,72.930469
3,71,73.021901
-15,71,73.114809
-7,71,73.207703
-26,72,73.300576
19,71,73.395572
-31,71,73.487988
-7,71,73.580616
-9,71,73.674004
24,108,73.811188
18,72,73.90456
-11,71,73.995922
19,71,74.083777
35,111,74.227857
10,108,74.364902
-4,72,74.457783
6,144,74.637008
3,71,74.727365
-21,71,74.820737
1,71,74.908087
30,72,74.997444
8,72,75.088808
-7,71,75.183264
4,108,75.317231
30,72,75.411106
-7,71,75.502982
29,109,75.642047
-10,108,75.782508
16,72,75.873383
-39,71,75.9663
-19,71,76.059202
-20,72,76.15201
16,144,76.33675
29,71,76.425599
3,75,76.524012
15,181,76.846946
21,71,76.940434
-15,109,77.080987
-8,72,77.174353
-7,71,77.268745
-7,71,77.365173
14,72,77.457542
-23,71,77.547409
15,145,77.733247
-4,108,77.868841
-31,71,77.961209
16,108,78.096748
-13,71,78.184099
-40,72,78.276473
17,71,78.370542
-13,71,78.461902
-44,146,78.648646
24,72,78.744555
-11,71,78.838131
8,108,78.9787
-4,108,79.118248
-21,71,79.213126
23,71,79.306506
-19,71,79.393355
-23,71,79.484213
-33,71,79.58939
18,108,79.736607
-35,71,79.830449
-7,71,79.91944
-15,71,80.014328
7,109,80.151873
-4,72,80.244286
-25,71,80.337779
-2,72,80.431706
-39,73,80.529718
-21,71,80.620628
17,71,80.7135
30,72,80.808383
2,72,80.89974
-16,72,80.995695
-22,72,81.088071
-5,71,81.177432
-32,72,81.269319
-27,71,81.359584
18,108,81.49963
-19,71,81.594503
35,71,81.69649
18,144,81.890949
-45,71,81.985849
0,72,82.079334
-31,71,82.185891
6,72,82.304612
4,72,82.413679
2,74,82.532867
27,71,82.651087
-13,73,82.772159
3,71,82.883231
-12,72,82.985245
39,71,83.081235
8,108,83.245521
6,108,83.395719
31,71,83.496681
27,109,83.657395
8,72,83.765431
23,109,83.938643
-7,71,84.039653
-6,108,84.200957
14,108,84.379153
4,108,84.545542
10,72,84.66792
-27,73,84.768908
-11,71,84.855288
6,108,84.996437
-4,108,85.141531
3,71,85.237022
-13,71,85.336538
-39,71,85.44915
9,71,85.549648
15,71,85.654891
6,108,85.822584
19,73,85.936228
-2,72,86.048359
15,71,86.150553
29,71,86.257065
-27,145,86.455272
-11,71,86.56949
-17,71,86.693865
-19,71,86.807601
-28,72,86.930434
5,109,87.100987
0,108,87.255817
-19,71,87.352933
-10,72,87.449744
-1,71,87.552511
2,72,87.65913
8,72,87.764673
-32,72,87.864126
9,109,88.019389
-17,71,88.131617
28,108,88.343707
-8,108,88.494466
16,108,88.697738
-23,71,88.817932
16,108,89.008524
-13,71,89.137226
28,108,89.344906
-6,108,89.515601
-4,108,89.674429
27,71,89.808878
-31,71,89.938084
-35,73,90.074855
-31,71,90.196394
20,108,90.383668
-17,71,90.505684
-23,73,90.625172
1,109,90.808463
-39,71,90.927186
33,71,91.053322
-31,71,91.156942
-19,71,91.24702
17,71,91.344782
-15,71,91.441423
1,71,91.534642
18,108,91.674565
11,109,91.810613
-11,71,91.90148
-21,71,91.99184
-20,72,92.083218
1,73,92.183162
-25,71,92.270006
18,108,92.411489
-23,71,92.504369
10,72,92.596238
28,108,92.740922
0,110,92.885567
-39,71,92.974472
-10,72,93.068196
-8,108,93.209382
0,108,93.348656
-10,72,93.444379
20,72,93.537048
-27,71,93.630103
-4,108,93.772779
-7,71,93.86391
21,71,93.955278
-5,71,94.044728
26,108,94.187809
-11,71,94.280685
39,71,94.378081
-30,74,94.473473
27,109,94.618237
6,108,94.758843
27,71,94.848717
-26,72,94.942922
20,72,95.040222
-15,71,95.134051
-23,71,95.228696
-33,73,95.32385
-36,72,95.417481
11,71,95.50969
-6,112,95.652224
